,,,,,,,,,,,,
,,,,Order: #6512592  -  Ship Date:  6/17/2021,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,1177295 - BSA GRIZZLY CAMP,,,,,"  Est. Total: $6,379.05",,,,,,
,LABRANT ROAD,,,,,  Lines: 99    Pieces: 162,,,,,,
,LABRANT ROAD,,,,,,,,,,,
,,,,,,  Status: Draft,,,,,,
,"BIGFORK ,  MT   59911-6291",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,  Export Date: 6/15/2021,,,,,,,,,,,
,,,,,,,,,,,,
,Number,Product Name,,,Brand,,Pack/Size,Non-Stock,Price,Per LB,Each,QTY Ord
,809229,BEANS GREEN CUT FANCY 4 SIEVE,,,MONARCH-D,,6/#10,,$33.79,,N,1
,38810,POTATOES DEHYDRATED SCALLOPED LOW/SODIUM,,,MONARCH,,6/2.25#,,$61.04,,N,1
,28257,HAM BONELESS BUFFET SMOKED 1-DIAMOND,,,PATUXENT FARMS,,2/9-11#A,,$2.09,Y,N,1
,870199,SANDWICH GRILLED CHEESE WHOLE GRAIN INDIVIDUALLY WRAPPED,,,BAKE CRAFTERS,,108/4.15Z,,$105.22,,N,1
,709367,SANDWICH MUFFIN SAUSAGE/EGG/CHS,,,JIMMY DEAN,,12/5Z,,$16.69,,N,4
,767816,DRESSING THOUSAND ISLAND POUR,,,SIG 5-STAR,,4/1GL,,$46.04,,N,1
,20313,DRESSING RANCH BUTTERMILK SINGLE SERVE CUP,,,MONARCH,,100/1.5Z,,$20.99,,N,2
,349216,LASAGNA WITH MEAT SAUCE,,,STOUFFER,,4/96Z,,$60.25,,N,1
,482773,LETTUCE SALAD BAR COLOR SEPARATE,,,TAYLOR FARMS,,4/5#,,$17.58,,N,8
,493538,CHICKEN STRIP COOKED BREADED GOLD N SPICY 1.6Z,,,SMARTSHAPE,,100/1.6Z,,$31.92,,N,2
,464928,COCOA MIX HOT INSTANT INDIVIDUAL REGULAR,,,NESTLE,,6/50CT,,$57.77,,N,2
,897095,COFFEE BISTRO MIA GROUND FRAC PACK,,,BY THE BEAN,,42/2Z,,$38.93,,N,1
,24586,MILK 2% REDUCED FAT RBST FREE,,,GLENVIEW FARMS,,2/1GL,,$7.29,,N,10
,786152,SAUCE TABASCO GREEN PEPPER,,,TABASCO,,12/5Z,,$36.72,,N,1
,543082,BUTTER BLEND EURO STYLE,,,SUN GLOW,,720/5GM,,$23.09,,N,2
,26933,BEANS BLACK FANCY,,,DEL PASADO,,6/#10,,$31.97,,N,1
,24730,RICE LONG GRAIN WHITE 4% BROKEN,,,MONARCH,,1/50#,,$26.71,,N,1
,245518,PEPPERS BELL RED CHOICE,,,PACKER,,1/CTN,,$30.56,,N,1
,251348,PEPPERS BELL GREEN CHOICE,,,PACKER,,1/CTN,,$29.80,,N,1
,367298,CHICKEN THIGH MEAT BONELESS / SKINLESS FRESH TO FROZEN,,,PACKER,,4/10#,,$99.95,,N,1
,481122,PORK TENDERLOIN RAW 415,,,FARMLAND,,8/2#A,,$3.03,Y,N,2
,28086,CHEESE CHEDDAR MILD FANCY SHRED YELLOW,,,GLENVIEW FARMS,,4/5#,,$45.99,,N,1
,159504,JUICE APPLE 100% FIVE PARTS TO ONE PART,,,SIG 5-STAR,,3/128Z,,$113.91,,N,3
,159374,JUICE ORANGE 100% BLEND FOUR PARTS TO ONE PART,,,SIG 5-STAR,,3/128Z,,$89.52,,N,3
,961419,BREAD WHOLE WHEAT SLICED GOURMET,,,GRAINSOFMT,,1/12CT,,$37.58,,N,2
,783415,BREAD WHITE ROUND TOP 1/2 INCH SLICE,,,HEARTLAND BAKIN,,12/24Z,,$24.50,,N,3
,157592,CHIPS ASSORTED CLASSIC SINGLE SERVE,,,FRITO LAY,,2/51CT,,$30.65,,N,2
,72200,BEANS BAKED VEGETARIAN NEW ENGLAND STYLE,,,FURMANO,,6/116Z,,$37.57,,N,1
,736636,BUN HAMBURGER 51% WHOLE GRAIN 2Z,,,OVENFRESH,,12/8CT,,$14.32,,N,1
